SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
Class C Fly-Ash,300.0,1.0,0.0,0.0,22.0,48,0.4,0.6,0.0,8.0,0.6,25.0
Class C Fly-Ash,300.0,1.0,0.0,0.0,60.0,24,0.4,0.6,0.0,8.0,0.6,24.8
Class C Fly-Ash,300.0,1.0,0.0,0.0,22.0,48,0.4,0.6,0.0,14.0,0.6,22.0
Class C Fly-Ash,300.0,1.0,0.0,0.0,60.0,24,0.4,0.6,0.0,14.0,0.6,25.7
Class F Fly-Ash,350.0,1.0,0.0,0.0,22.0,48,0.4,0.0,36.02,16.0,0.38,12.0
Class F Fly-Ash,370.0,1.0,0.0,0.0,22.0,48,0.4,0.0,31.58,16.0,0.42,17.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,22.0,48,0.4,0.0,27.07,16.0,0.46,25.0
Class F Fly-Ash,350.0,1.0,0.0,0.0,90.0,24,0.4,0.0,36.02,16.0,0.38,20.0
Class F Fly-Ash,370.0,1.0,0.0,0.0,90.0,24,0.4,0.0,31.58,16.0,0.42,31.7
Class F Fly-Ash,400.0,1.0,0.0,0.0,90.0,24,0.4,0.0,27.07,16.0,0.46,42.5
Class F Fly-Ash,400.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,8.0,0.35,61.0
Class F Fly-Ash,368.0,1.0,0.0,0.0,80.0,24,0.4,0.0,0.0,8.0,0.5,85.66
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,18,0.4,0.0,20.0,8.0,0.35,33.0
Class F Fly-Ash,467.0,1.0,0.0,72.0,60.0,24,0.4,0.0,0.0,10.0,0.3,24.0
Class F Fly-Ash,400.0,1.0,0.0,72.0,27.0,48,0.4,0.0,0.0,10.0,0.35,15.5
Class F Fly-Ash,400.0,1.0,0.0,72.0,90.0,24,0.4,0.0,0.0,10.0,0.35,26.0
Class F Fly-Ash,350.0,1.0,0.0,72.0,60.0,24,0.4,0.0,0.0,10.0,0.4,25.0
Class F Fly-Ash,412.0,1.0,0.0,0.0,90.0,24,0.4,4.0,41.2,14.0,0.4,52.25
Class F Fly-Ash,380.0,1.0,0.0,0.0,25.0,48,0.4,3.8,0.0,8.0,0.45,29.67
